<Clock>[ms],<Lat>[rad],<Lon>[rad],<Height>[m]
909142,0.600313361,1.230549058,515.73
910142,0.600313351,1.230549053,515.79
911142,0.600313341,1.230549039,515.84
912142,0.600313336,1.230549034,515.9
913142,0.600313332,1.230549024,515.93
914142,0.600313322,1.230549014,515.93
915142,0.600313317,1.230549,515.96
916142,0.600313307,1.230548995,515.95
917142,0.600313288,1.23054899,515.88
918142,0.600313273,1.23054898,515.83
919142,0.600313249,1.230548976,515.76
920142,0.600313235,1.230548966,515.69
921142,0.600313215,1.230548961,515.61
922142,0.600313196,1.230548956,515.52
923142,0.600313181,1.230548951,515.45
924142,0.600313167,1.230548942,515.37
925142,0.600313152,1.230548937,515.31
926142,0.600313138,1.230548937,515.27
927142,0.600313128,1.230548932,515.24
928142,0.600313113,1.230548927,515.19
929142,0.600313099,1.230548937,515.17
930142,0.600313094,1.230548932,515.16
931142,0.600313089,1.230548932,515.13
932142,0.600313084,1.230548922,515.09
933142,0.600313075,1.230548917,515.09
934142,0.600313075,1.230548912,515.02
935142,0.600313065,1.230548922,514.99
936142,0.600313065,1.230548917,514.96
937142,0.60031306,1.230548912,514.95
938142,0.60031306,1.230548908,514.95
939142,0.600313055,1.230548903,514.93
940142,0.600313055,1.230548903,514.93
941142,0.600313055,1.230548898,514.92
942142,0.600313055,1.230548898,514.93
943142,0.60031305,1.230548898,514.93
944142,0.600313055,1.230548898,514.94
945142,0.600313055,1.230548903,514.94
946142,0.600313055,1.230548903,514.93
947142,0.600313055,1.230548903,514.91
948142,0.60031305,1.230548903,514.91
949142,0.60031305,1.230548903,514.9
950142,0.60031305,1.230548903,514.9
951142,0.60031305,1.230548903,514.89
952142,0.60031305,1.230548903,514.89
953142,0.60031305,1.230548903,514.89
954142,0.60031305,1.230548903,514.9
955142,0.60031305,1.230548903,514.91
956142,0.60031305,1.230548903,514.92
957142,0.60031305,1.230548903,514.92
958142,0.600313055,1.230548903,514.93
959142,0.600313055,1.230548903,514.93
960142,0.600313055,1.230548903,514.93
961142,0.600313055,1.230548903,514.94
